iter	Passed	Remaining
411	3309	4723
412	3317	4714
413	3325	4707
414	3332	4698
415	3339	4688
416	3347	4680
417	3355	4671
418	3363	4664
419	3370	4654
420	3378	4646
421	3385	4637
422	3393	4629
423	3400	4619
424	3408	4610
425	3416	4602
426	3423	4593
427	3431	4585
428	3437	4575
429	3445	4567
430	3452	4558
431	3462	4552
432	3469	4543
433	3477	4535
434	3485	4526
435	3492	4518
436	3500	4510
437	3508	4501
438	3515	4492
439	3523	4484
440	3530	4475
441	3538	4466
442	3545	4458
443	3552	4449
444	3561	4441
445	3568	4432
446	3578	4426
447	3585	4417
448	3593	4409
449	3600	4400
450	3609	4394
451	3617	4385
452	3625	4377
453	3632	4368
454	3640	4360
455	3648	4352
456	3656	4344
457	3664	4337
458	3674	4331
459	3683	4323
460	3692	4316
461	3699	4308
462	3707	4300
463	3715	4291
464	3723	4283
465	3730	4274
466	3738	4266
467	3745	4257
468	3752	4248
469	3759	4239
470	3767	4230
471	3775	4222
472	3782	4213
473	3789	4205
474	3797	4196
475	3805	4188
476	3812	4179
477	3820	4172
478	3828	4163
479	3836	4156
480	3843	4147
481	3851	4139
482	3859	4131
483	3867	4123
484	3874	4114
485	3883	4107
486	3891	4098
487	3898	4090
488	3906	4082
489	3914	4074
490	3921	4065
491	3928	4056
492	3936	4048
493	3943	4039
494	3951	4031
495	3958	4022
496	3966	4014
497	3973	4005
498	3982	3998
499	3990	3990
500	3998	3982
501	4004	3972
502	4012	3964
503	4019	3955
504	4026	3946
505	4034	3938
506	4041	3929
507	4049	3921
508	4056	3912
509	4063	3904
510	4071	3895
511	4080	3888
512	4087	3880
513	4095	3872
514	4103	3864
515	4110	3855
516	4118	3847
517	4125	3839
518	4133	3831
519	4140	3822
520	4148	3814
521	4156	3805
522	4163	3797
523	4170	3788
524	4179	3781
525	4187	3773
526	4196	3766
527	4204	3758
528	4212	3750
529	4219	3742
530	4227	3733
531	4234	3724
532	4241	3715
533	4248	3707
534	4255	3698
535	4263	3690
536	4270	3682
537	4277	3673
538	4285	3664
539	4293	3657
540	4299	3648
541	4307	3639
542	4315	3631
543	4322	3622
544	4331	3615
545	4338	3607
546	4346	3599
547	4353	3590
548	4360	3582
549	4368	3573
550	4375	3565
551	4382	3556
552	4389	3548
553	4396	3539
554	4404	3531
555	4411	3523
556	4418	3514
557	4426	3506
558	4432	3497
559	4440	3489
560	4447	3480
561	4454	3471
562	4462	3463
563	4469	3455
564	4477	3447
565	4484	3438
566	4492	3430
567	4499	3422
568	4507	3414
569	4514	3405
570	4521	3397
571	4529	3388
572	4536	3380
573	4544	3372
574	4552	3364
575	4560	3357
576	4567	3348
577	4575	3340
578	4583	3332
579	4591	3325
580	4599	3316
581	4606	3308
582	4613	3300
583	4621	3292
584	4629	3283
585	4636	3275
586	4643	3267
587	4651	3258
588	4658	3250
589	4666	3242
590	4673	3234
591	4680	3226
592	4688	3217
593	4695	3209
594	4702	3201
595	4709	3192
596	4717	3184
597	4725	3176
598	4731	3167
599	4739	3159
600	4746	3151
601	4754	3143
602	4760	3134
603	4768	3126
604	4775	3117
605	4782	3109
606	4790	3101
607	4797	3092
608	4805	3084
609	4812	3077
610	4820	3069
611	4827	3060
612	4834	3052
613	4842	3044
614	4849	3036
615	4856	3027
616	4863	3019
617	4871	3011
618	4878	3002
619	4886	2994
620	4893	2986
621	4901	2978
622	4907	2970
623	4915	2962
624	4923	2953
625	4930	2945
626	4938	2937
627	4944	2929
628	4952	2921
629	4959	2912
630	4966	2904
631	4974	2896
632	4983	2889
633	4990	2880
634	4997	2872
635	5004	2864
636	5011	2856
637	5019	2847
638	5026	2839
639	5034	2831
640	5042	2823
641	5050	2816
642	5056	2807
643	5064	2799
644	5071	2791
645	5079	2783
646	5086	2775
647	5094	2767
648	5101	2758
649	5108	2750
650	5116	2742
651	5123	2734
652	5131	2726
653	5138	2718
654	5145	2710
655	5153	2702
656	5160	2694
657	5168	2686
658	5175	2678
659	5182	2669
660	5189	2661
661	5197	2653
662	5204	2645
663	5212	2637
664	5219	2629
665	5227	2621
666	5234	2613
667	5242	2605
668	5249	2597
669	5256	2589
670	5264	2581
671	5271	2572
672	5278	2564
673	5285	2556
674	5293	2548
675	5300	2540
676	5307	2532
677	5314	2524
678	5321	2515
679	5329	2508
680	5336	2499
681	5344	2492
682	5351	2483
683	5359	2475
684	5366	2467
685	5374	2460
686	5381	2451
687	5388	2443
688	5395	2435
689	5402	2427
690	5410	2419
691	5417	2411
692	5425	2403
693	5432	2395
694	5439	2387
695	5446	2379
696	5454	2371
697	5461	2363
698	5468	2354
699	5476	2347
700	5483	2338
701	5491	2331
702	5498	2322
703	5507	2315
704	5514	2307
705	5522	2299
706	5529	2291
707	5536	2283
708	5544	2275
709	5551	2267
710	5559	2259
711	5566	2251
712	5574	2243
713	5581	2235
714	5588	2227
715	5596	2219
716	5603	2211
717	5611	2203
718	5618	2195
719	5625	2187
720	5633	2180
721	5642	2172
722	5650	2164
723	5657	2156
724	5664	2148
725	5672	2140
726	5680	2133
727	5688	2125
728	5695	2117
729	5703	2109
730	5711	2101
731	5719	2093
732	5727	2086
733	5734	2078
734	5742	2070
735	5749	2062
736	5757	2054
737	5765	2046
738	5773	2038
739	5781	2031
740	5788	2023
741	5795	2015
742	5802	2007
743	5809	1999
744	5817	1991
745	5824	1983
746	5831	1975
747	5839	1967
748	5847	1959
749	5855	1951
750	5862	1943
751	5870	1936
752	5878	1928
753	5886	1920
754	5893	1912
755	5900	1904
756	5907	1896
757	5915	1888
758	5922	1880
759	5930	1872
760	5937	1864
761	5944	1856
762	5952	1848
763	5959	1840
764	5967	1833
765	5974	1825
766	5982	1817
767	5989	1809
768	5996	1801
769	6003	1793
770	6010	1785
771	6018	1777
772	6025	1769
773	6033	1761
774	6040	1753
775	6048	1745
776	6056	1738
777	6064	1730
778	6071	1722
779	6079	1714
780	6085	1706
781	6092	1698
782	6099	1690
783	6106	1682
784	6114	1674
785	6121	1666
786	6129	1659
787	6136	1651
788	6144	1643
789	6151	1635
790	6159	1627
791	6166	1619
792	6174	1611
793	6181	1603
794	6188	1595
795	6196	1588
796	6203	1580
797	6211	1572
798	6218	1564
799	6226	1556
800	6233	1548
801	6240	1540
802	6247	1532
803	6254	1524
804	6263	1517
805	6270	1509
806	6278	1501
807	6285	1493
808	6294	1486
809	6301	1478
810	6309	1470
811	6316	1462
812	6323	1454
813	6330	1446
814	6337	1438
815	6345	1430
816	6352	1422
817	6362	1415
818	6371	1408
819	6379	1400
820	6388	1392
821	6396	1385
822	6403	1377
823	6410	1369
824	6417	1361
825	6425	1353
826	6431	1345
827	6439	1337
828	6447	1329
829	6454	1322
830	6462	1314
831	6470	1306
832	6477	1298
833	6484	1290
834	6492	1282
835	6499	1275
836	6507	1267
837	6515	1259
838	6523	1251
839	6530	1243
840	6538	1236
841	6544	1228
842	6551	1220
843	6559	1212
844	6566	1204
845	6574	1196
846	6581	1188
847	6588	1181
848	6595	1173
849	6603	1165
850	6610	1157
851	6617	1149
852	6625	1141
853	6632	1133
854	6640	1126
855	6647	1118
856	6655	1110
857	6662	1102
858	6670	1094
859	6677	1087
860	6685	1079
861	6692	1071
862	6700	1063
863	6707	1055
864	6715	1048
865	6722	1040
866	6730	1032
867	6738	1024
868	6745	1016
869	6754	1009
870	6763	1001
871	6772	994
872	6779	986
873	6786	978
874	6793	970
875	6801	962
876	6808	954
877	6816	947
878	6823	939
879	6831	931
880	6838	923
881	6846	915
882	6853	908
883	6860	900
884	6868	892
885	6875	884
886	6884	877
887	6892	869
888	6901	861
889	6911	854
890	6920	846
891	6928	838
892	6936	831
893	6944	823
894	6952	815
895	6959	807
896	6966	799
897	6975	792
898	6983	784
899	6990	776
900	6998	769
901	7006	761
902	7013	753
903	7020	745
904	7028	737
905	7035	729
906	7042	722
907	7050	714
908	7057	706
909	7065	698
910	7072	690
911	7081	683
912	7088	675
913	7096	667
914	7103	659
915	7111	652
916	7118	644
917	7125	636
918	7132	628
919	7139	620
920	7146	613
921	7154	605
922	7161	597
923	7168	589
924	7177	581
925	7184	574
926	7191	566
927	7198	558
928	7205	550
929	7213	542
930	7221	535
931	7229	527
932	7236	519
933	7244	511
934	7251	504
935	7259	496
936	7266	488
937	7274	480
938	7281	473
939	7289	465
940	7296	457
941	7303	449
942	7310	441
943	7317	434
944	7326	426
945	7333	418
946	7341	410
947	7348	403
948	7355	395
949	7362	387
950	7370	379
951	7377	371
952	7384	364
953	7392	356
954	7399	348
955	7407	340
956	7415	333
957	7422	325
958	7429	317
959	7436	309
960	7443	302
961	7450	294
962	7458	286
963	7465	278
964	7473	271
965	7480	263
966	7488	255
967	7496	247
968	7504	240
969	7511	232
970	7518	224
971	7526	216
972	7535	209
973	7544	201
974	7553	193
975	7561	185
976	7571	178
977	7579	170
978	7587	162
979	7596	155
980	7606	147
981	7614	139
982	7622	131
983	7629	124
984	7637	116
985	7644	108
986	7652	100
987	7658	93
988	7666	85
989	7673	77
990	7680	69
991	7688	62
992	7695	54
993	7703	46
994	7711	38
995	7719	31
996	7726	23
997	7734	15
998	7741	7
999	7748	0
